product_category,fragility_score,sustainability_priority,durability_requirement,max_packaging_cost,material_cost,innovation_level,recommended
,,,,,0.9880704926690584,3,1
,,,,,0.8307995632993502,3,1
,,,,,0.6823093660645296,3,1
,,,,,0.8100920354718866,3,0
synthetic_product,0.5,0.5,0.5,100.0,0.9880704926690584,2,1
synthetic_product,0.5,0.5,0.5,100.0,0.8307995632993502,2,1
,,,,,0.4876471759381703,3,1
synthetic_product,0.5,0.5,0.5,100.0,0.6823093660645296,2,1
synthetic_product,0.5,0.5,0.5,100.0,0.8100920354718866,2,0
synthetic_product,0.5,0.5,0.5,100.0,0.2547162847169669,1,1
synthetic_product,0.5,0.5,0.5,100.0,0.5398506439038163,1,0
,,,,,0.7853101540377309,3,0
,,,,,0.2520783834732825,4,1
synthetic_product,0.5,0.5,0.5,100.0,0.48764717593817036,2,1
,,,,,0.3893199666505845,3,0
,,,,,0.4174306242890534,3,1
synthetic_product,0.5,0.5,0.5,100.0,0.43340105336858936,1,1
synthetic_product,0.5,0.5,0.5,100.0,0.4598863997890927,1,0
,,,,,0.478145978229218,3,0
synthetic_product,0.5,0.5,0.5,100.0,0.687205031478033,1,1
,,,,,0.7323957614916259,3,0
synthetic_product,0.5,0.5,0.5,100.0,0.1526686730284686,1,1
,,,,,0.2792137575969855,3,0
,,,,,0.2905017674268664,3,1
,,,,,0.451567726118539,4,1
synthetic_product,0.5,0.5,0.5,100.0,0.7853101540377309,2,0
synthetic_product,0.5,0.5,0.5,100.0,0.2520783834732825,3,1
synthetic_product,0.5,0.5,0.5,100.0,0.8788608582555507,1,1
,,,,,1.127302917481396,3,0
synthetic_product,0.5,0.5,0.5,100.0,0.3893199666505845,2,0
synthetic_product,0.5,0.5,0.5,100.0,0.4174306242890534,2,1
synthetic_product,0.5,0.5,0.5,100.0,0.48931878090680014,1,0
,,,,,0.5612894954939653,4,1
,,,,,0.4203431719633999,3,0
,,,,,0.6266825914508837,3,0
synthetic_product,0.5,0.5,0.5,100.0,0.5543225330165297,1,1
,,,,,0.410008768803989,3,1
